database_name,schema_name,table_name,table_type,table_description,ordinal_position,column_name,data_type,is_nullable,column_default,column_description
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,5,TUDO_AZUL_NUMBER,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,3,COUNTRY,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,9,IDENTIFIER,NUMBER,YES,,
APM_INTERLINE,CDC,EVENT_RAW,BASE TABLE,,1,EVENT,VARIANT,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,4,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,7,BOOKING_CANCELED,BOOLEAN,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,10,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,1,ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,14,NEIGHBOURHOOD,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT_PNR_ERROR,BASE TABLE,,11,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PAYMENT,BASE TABLE,,2,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,8,DEPARTURE_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,12,MOBILE,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,17,REGION,TEXT,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,17,REGION,TEXT,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,11,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_INSTALLMENT,BASE TABLE,,10,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,4,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS_PLUS_MONEY,BASE TABLE,,5,ID,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,4,BOOKING_CANCELED,BOOLEAN,YES,,
APM_INTERLINE,APM,EXPRESSION_EXCHANGE_RULE,BASE TABLE,,12,APPLY_RULE_EXPRESSION,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,8,ID,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS,BASE TABLE,,2,POINTS,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,20,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_AUDIT,BASE TABLE,,6,ID,NUMBER,YES,,
APM_INTERLINE,APM,FLIGHT_DETAIL,BASE TABLE,,13,OPERATING_CARRIER,TEXT,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,1,APARTMENT_NUMBER,TEXT,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_EXECUTION,BASE TABLE,,4,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,8,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,8,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,CDC,TABLE_STRUCTURE_CACHE,BASE TABLE,,3,COLUMN_NAME,TEXT,NO,,
APM_INTERLINE,CDC,TABLE_STRUCTURE_CACHE,BASE TABLE,,4,DATA_TYPE,TEXT,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,12,MOBILE,NUMBER,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,2,TICKET_CANCELED,BOOLEAN,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS_PLUS_MONEY,BASE TABLE,,10,FAIR_VALUE,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT,BASE TABLE,,5,ID,NUMBER,YES,,
APM_INTERLINE,APM,PAYMENT_INSTALLMENT,BASE TABLE,,8,INTERESTS_INSTALLMENT,BOOLEAN,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,11,PAYMENT_ADYEN,TEXT,YES,,
APM_INTERLINE,APM,PNR_ERROR_CANCEL_BOOKING,BASE TABLE,,13,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,20,FARE_ORIGIN_TYPE,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,18,DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR_ERROR,BASE TABLE,,1,CREATED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,7,SITE_CHANNEL,TEXT,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_EXECUTION,BASE TABLE,,3,STATE,TEXT,YES,,
APM_INTERLINE,APM,PAYMENT_INSTALLMENT,BASE TABLE,,9,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,4,BIRTH_DATE,DATE,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,12,ARRIVAL_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_POINTS_PLUS_MONEY,BASE TABLE,,7,ID_FLIGHT,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT,BASE TABLE,,10,LAST_MODIFIED_DATE,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,10,NAME,TEXT,YES,,
APM_INTERLINE,APM,PNR,BASE TABLE,,3,STATUS_LOYALTY,TEXT,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_HISTORY,BASE TABLE,,8,DATA_TRANSACTION_ID,NUMBER,YES,,
APM_INTERLINE,APM,PASSENGER_TAX,BASE TABLE,,3,TAX_VALUE,NUMBER,YES,,
APM_INTERLINE,APM,EXCHANGE_RULES_UPLOAD_HISTORY,BASE TABLE,,7,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER_PNR_ERROR,BASE TABLE,,2,PRINCIPAL_CONTACT,BOOLEAN,YES,,
APM_INTERLINE,APM,PAYMENT_CARD,BASE TABLE,,8,TIMESTAMP_TRANSACTION,TIMESTAMP_NTZ,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,5,ID,NUMBER,YES,,
APM_INTERLINE,APM,CONTACT_BKP,BASE TABLE,,1,APARTMENT_NUMBER,TEXT,YES,,
APM_INTERLINE,APM,PASSENGER,BASE TABLE,,12,PASSENGER_TYPE,TEXT,YES,,
APM_INTERLINE,APM,FLIGHT,BASE TABLE,,5,DEPARTURE_DATE,TIMESTAMP_NTZ,YES,,
